"","nazwa","teryt"
"435","Kruszwica","040706_5"
"436","BOBROWNIKI","040802_2"
"437","WIELGIE","040809_2"
"438","DOBRZYŃ NAD WISŁĄ - MIASTO","040804_4"
"439","Kcynia - ob. wiejski","041001_5"
"440","TOPÓLKA","041107_2"
"441","Pruszcz","041408_2"
"442","Drzycim","041403_2"
"443","Czernikowo","041503_2"
"444","Więcbork - G","041304_5"
"445","Kamień Krajeński - G","041301_5"
"446","KOWAL","041801_1"
"447","CHODECZ - MIASTO","041806_4"
"448","Lubiewo","041604_2"
"449","MIĘDZYRZEC PODLASKI - GMINA","060110_2"
"450","Barcin (M)","041901_4"
"451","Miasto Bydgoszcz","046101_1"
"452","TERESPOL","060102_1"
"453","Lubień","120902_2"
"454","WISZNICE","060118_2"
"455","TUCZNA","060117_2"
"456","Krasnystaw","060601_1"
"457","WILKOŁAZ","060709_2"
"458","SZASTARKA","060706_2"
"459","Rudnik","060609_2"
"460","ANNOPOL gm.","060702_5"
"461","ZAKRZÓWEK","060710_2"
"462","ZAKRZEW","060916_2"
"463","KRZYWDA","061104_2"
"464","WILKÓW","061207_2"
"465","BARANÓW","061402_2"
"466","KŁOCZEW","061602_2"
"467","Łaszczów - miasto w gminie miejsko-wiejskiej","061806_4"
"468","NOWODWÓR","061603_2"
"469","RYKI","061604_5"
"470","Nałęczów - miasto","061408_4"
"471","Tomaszów Lubelski","061811_2"
"472","UŁĘŻ","061606_2"
"473","WŁODAWA","061901_1"
"474","Bełżec","061802_2"
"475","ŻYRZYN","061411_2"
"476","Szczaniec","080804_2"
"477","Lubsko obszar wiejski","081106_5"
"478","Babimost obszar wiejski","080901_5"
"479","Łęknica","081101_1"
"480","Kargowa miasto","080904_4"
"481","Zabór","080909_2"
"482","Lubsko miasto","081106_4"
"483","Przewóz","081107_2"
"484","m. Zielona Góra","086201_1"
"485","Rusiec","100106_2"
"486","KROŚNIEWICE - OBSZAR WIEJSKI","100204_5"
"487","KRZYŻANÓW","100205_2"
"488","WODZIERADY","100305_2"
"489","ŚWINICE WARCKIE","100407_2"
"490","DOMANIEWICE","100504_2"
"491","DOBROŃ","100804_2"
"492","KSAWERÓW","100805_2"
"493","SULMIERZYCE","100908_2"
"494","Wartkowice","101105_2"
"495","WIELGOMŁYNY","101213_2"
"496","PRZEDBÓRZ - OBSZAR WIEJSKI","101211_5"
"497","Burzenin","101405_2"
"498","ŻELECHLINEK","101611_2"
"499","MOKRSKO","101704_2"
"500","Dobra","120703_2"
"501","Laskowa","120706_2"
"502","Chrzanów - miasto","120303_4"
"503","Bochnia - miasto","120101_1"
"504","Dąbrowa Tarnowska - obszar wiejski","120402_5"
"505","Mędrzechów","120404_2"
"506","CHARSZNICA","120801_2"
"507","Nowy Wiśnicz - obszar wiejski","120106_5"
"508","Babice","120302_2"
"509","Łabowa","121008_2"
"510","Raciechowice","120905_2"
"511","Słomniki - miasto","120612_4"
"512","Rzezawa","120107_2"
"513","Borzęcin","120201_2"
"514","Żegocina","120109_2"
"515","Żabno - obszar wiejski","121615_5"
"516","Maków Podhalański - obszar wiejski","121506_5"
"517","Stryszawa","121507_2"
"518","Wolbrom - G","121207_5"
"519","SZAFLARY","121114_2"
"520","Skrzyszów","121608_2"
"521","Chełmek - miasto","121303_4"
"522","BRZEŹNICA","121802_2"
"523","Biały Dunajec","121702_2"
"524","Niepołomice - G","121904_5"
"525","Wieliczka - G","121905_5"
"526","Krowodrza","126102_9"
"527","KALWARIA ZEB. - OBSZAR WIEJSKI","121803_5"
"528","WADOWICE - OBSZAR WIEJSKI","121809_5"
"529","ŁASKARZEW","140302_1"
"530","WYŚMIERZYCE - OBSZAR WIEJSKI","140106_5"
"531","SZCZAWIN KOŚCIELNY","140405_2"
"532","BARANÓW","140503_2"
"533","MOGIELNICA - OBSZAR WIEJSKI","140607_5"
"534","JASIENIEC","140606_2"
"535","WARKA - OBSZAR WIEJSKI","140611_5"
"536","Gniewoszów","140703_2"
"537","Grabów N/Pilicą","140704_2"
"538","Kozienice - miasto","140705_4"
"539","MAKÓW MAZOWIECKI","141101_1"
"540","CZERWONKA","141102_2"
"541","SOLEC NAD WISŁĄ","140906_2"
